"","BOROUGH","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BLOCK","LOT","EASE.MENT","BUILDING.CLASS.AT.PRESENT","ADDRESS","APARTMENT.NUMBER","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","SALE.PRICE","SALE.DATE","bill_bbl","condonum","int_x","int_y","xcoord","ycoord","note","tc_s","bc_s","grosqft.x","pricepsf","pid","boro","bble","stno","stname","neighbor","tc","bc","vbcat","vsubbcat","newtfmv","newtaavt","emv","grosqft.y","ressqft","comsqft","tru","story","totbld","landsize","zone1","yrbuilt","bldfrt","blddep","extcnd","style","bsmtyp","consty","extwal","bprox","offsqft","retsqft","garsqft","facsqft","stosqft","tru.1","tcu","yrbuilt.1","zone1.1","totregunit","regratio","aptsize","fmv18","fmv18psf","incpsf18","exppsf18"
"1",4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",507,22,NA,"A1","11-03 WELLING COURT                      ","            ",11102,"1"," -   ","1","2,160","1392.00",1920,1200000,"7/25/2016",0,"",1002800,220479,40.77182077,-73.93302816,"",1,"A1",1392,862.068965517241,579785,4,4005070022,"11-03","WELLING COURT","ASTORIA","1","A1","\N","\N",644000,15405,256750,1392,1392,0,1,2,1,2160,"R6A",1920,22,16,"4","08","4","1","07","2",0,0,0,0,0,1,0,1920,"R6A",0,"0.00","1392",644000,462.64,0,0
"2",4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",535,134,NA,"A9","14-22 30TH   ROAD                        ","            ",11102,"1"," -   ","1","2,560","1800.00",1905,910000,"8/30/2016",0,"",1003646,219606,40.7694228,-73.92997633,"",1,"A9",1800,505.555555555556,580500,4,4005350134,"14-22","30 ROAD","ASTORIA","1","A9","\N","\N",734000,16230,270500,1800,1800,0,1,2,1,2560,"R4",1905,16,32,"3","10","4","1","01","4",0,0,0,0,0,1,0,1905,"R4",0,"0.00","1800",734000,407.78,0,0
"3",4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",565,42,NA,"A5","23-21 33RD ROAD                          ","            ",11106,"1"," -   ","1","1,566","1224.00",1945,550000,"12/9/2016",0,"",1003496,217321,40.76315139,-73.93052441,"",1,"A5",1224,449.346405228758,581148,4,4005650042,"23-21","33 ROAD","ASTORIA","1","A5","\N","\N",747000,30621,510350,1224,1224,0,1,2,1,1566,"R5",1945,18,34,"4","10","4","2","07","4",0,0,0,0,0,1,0,1945,"R5",0,"0.00","1224",747000,610.29,0,0
"4",4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",565,48,NA,"A5","23-09 33RD ROAD                          ","            ",11106,"1"," -   ","1","1,638","1224.00",1945,939000,"8/15/2016",0,"",1003404,217380,40.76331353,-73.93085635,"",1,"A5",1224,767.156862745098,581154,4,4005650048,"23-09","33 ROAD","ASTORIA","1","A5","\N","\N",753000,30837,513950,1224,1224,0,1,2,1,1638,"R5",1945,18,34,"4","10","4","2","07","4",0,0,0,0,0,1,0,1945,"R5",0,"0.00","1224",753000,615.2,0,0
"5",4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",652,48,NA,"A5","25-02 37TH   STREET                      ","            ",11103,"1"," -   ","1","1,800","1502.00",1945,926000,"7/20/2016",0,"",1008190,219370,40.7687639,-73.91357238,"",1,"A5",1502,616.511318242344,585373,4,4006520048,"25-02","37 STREET","ASTORIA","1","A5","\N","\N",880000,32416,540266,1502,1502,0,1,2,1,1800,"R5B",1945,18,33,"4","10","4","2","07","4",0,0,0,0,0,1,0,1945,"R5B",0,"0.00","1502",880000,585.89,0,0
"6",4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",689,108,NA,"A5","24-31 43RD   STREET                      ","            ",11103,"1"," -   ","1","1,900","1264.00",1930,780000,"6/15/2016",0,"",1009616,218906,40.76748637,-73.90842602,"",1,"A5",1264,617.088607594937,587031,4,4006890108,"24-31","43 STREET","ASTORIA","1","A5","\N","\N",804000,25795,429916,1264,1264,0,1,2,1,1900,"R5",1930,19,32,"4","10","4","2","07","5",0,0,0,0,0,1,0,1930,"R5",0,"0.00","1264",804000,636.08,0,0
"7",4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",702,118,NA,"A5","25-65 43RD   STREET                      ","            ",11103,"1"," -   ","1","1,800","1332.00",1930,424000,"7/21/2016",0,"",1009076,218029,40.76508076,-73.91037872,"",1,"A5",1332,318.318318318318,587722,4,4007020118,"25-65","43 STREET","ASTORIA","1","A5","\N","\N",762000,28862,481033,1332,1332,0,1,2,1,1800,"R5",1930,18,32,"4","10","4","2","07","4",0,0,0,0,0,1,0,1930,"R5",0,"0.00","1332",762000,572.07,0,0
"8",4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",728,145,NA,"A5","30-17 46TH STREET                        ","            ",11103,"1"," -   ","1","1,650","764.00",1901,230000,"2/22/2016",0,"",1009093,216564,40.76105967,-73.91032276,"",1,"A5",764,301.047120418848,588835,4,4007280145,"30-17","46 STREET","ASTORIA","1","A5","\N","\N",699000,25795,429916,764,764,0,1,2,1,1650,"R5",1901,16,30,"4","10","4","2","07","4",0,0,0,0,0,1,0,1901,"R5",0,"0.00","764",699000,914.92,0,0
"9",4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",733,25,NA,"A2","24-49 47TH   STREET                      ","            ",11103,"1"," -   ","1","2,500","1080.00",1910,700000,"2/17/2016",0,"",1010594,218524,40.76643501,-73.90489684,"",1,"A2",1080,648.148148148148,589107,4,4007330025,"24-49","47 STREET","ASTORIA","1","A2","\N","\N",658000,24004,400066,1080,1080,0,1,2,1,2500,"M1-1",1910,20,24,"4","08","4","1","01","1",0,0,0,0,0,1,0,1910,"M1-1",0,"0.00","1080",658000,609.26,0,0
"10",4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",740,69,NA,"A5","30-38 50TH STREET                        ","            ",11377,"1"," -   ","1","1,800","1575.00",1945,810000,"12/13/2016",0,"",1009728,215912,40.75926829,-73.90803304,"",1,"A5",1575,514.285714285714,589309,4,4007400069,"30-38","50 STREET","ASTORIA","1","A5","\N","\N",657000,31518,525300,1575,1575,0,1,2,1,1800,"R5",1945,18,35,"4","10","4","2","07","4",0,0,0,0,0,1,0,1945,"R5",0,"0.00","1575",657000,417.14,0,0
"11",4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",740,83,NA,"A5","30-66 50TH   STREET                      ","            ",11377,"1"," -   ","1","1,800","1629.00",1945,785000,"4/25/2016",0,"",1009604,215709,40.75871146,-73.9084814,"",1,"A5",1629,481.890730509515,589323,4,4007400083,"30-66","50 STREET","ASTORIA","1","A5","\N","\N",641000,31518,525300,1629,1629,0,1,2,1,1800,"R5",1945,18,35,"4","10","4","2","07","4",0,0,0,0,0,1,0,1945,"R5",0,"0.00","1629",641000,393.49,0,0
"12",4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",741,239,NA,"A5","28-12 49TH STREET                        ","            ",11103,"1"," -   ","1","1,000","1320.00",1950,738850,"12/23/2016",0,"",1010035,216865,40.76188314,-73.90692122,"",1,"A5",1320,559.734848484848,589403,4,4007410239,"28-12","49 STREET","ASTORIA","1","A5","\N","\N",722000,28809,480150,1320,1320,0,1,2,1,1000,"R5",1950,16,30,"4","10","4","5","07","5",0,0,0,0,0,1,0,1950,"R5",0,"0.00","1320",722000,546.97,0,0
"13",4,"ASTORIA                  ","01  ONE FAMILY DWELLINGS                    ","1",742,5,NA,"A5","28-53 49TH   STREET                      ","            ",11103,"1"," -   ","1","2,400","1190.00",1945,781000,"6/15/2016",0,"",1009925,216430,40.7606895,-73.90731996,"",1,"A5",1190,656.302521008403,589407,4,4007420005,"28-53","49 STREET","ASTORIA","1","B3","\N","\N",830000,32726,545433,1394,1394,0,2,1,1,2400,"R5",1945,20,41,"2","10","4","2","07","5",0,0,0,0,0,2,0,1945,"R5",0,"0.00","697",830000,595.41,0,0
