"","xcoord","ycoord"
"1",40.77182077,-73.93302816
"2",40.7694228,-73.92997633
"3",40.76315139,-73.93052441
"4",40.76331353,-73.93085635
"5",40.7687639,-73.91357238
"6",40.76748637,-73.90842602
"7",40.76508076,-73.91037872
"8",40.76105967,-73.91032276
"9",40.76643501,-73.90489684
"10",40.75926829,-73.90803304
"11",40.75871146,-73.9084814
"12",40.76188314,-73.90692122
"13",40.7606895,-73.90731996
"14",40.75918238,-73.9070044
"15",40.77100668,-73.89725453
"16",40.76975872,-73.90141544
"17",40.77220431,-73.89829246
"18",40.77213616,-73.90200041
"19",40.77444481,-73.89919166
"20",40.77462143,-73.90028899
"21",40.77433462,-73.90518884
"22",40.77553735,-73.90583702
"23",40.77782251,-73.90437869
"24",40.77348409,-73.91256255
"25",40.77363257,-73.91290535
"26",40.77683787,-73.91217903
"27",40.77954468,-73.90927241
"28",40.77688461,-73.9159629
"29",40.77757379,-73.91630865
"30",40.77752754,-73.91687197
"31",40.77720211,-73.91854049
"32",40.78279623,-73.91903557
"33",40.77594246,-73.92701964
"34",40.77572811,-73.92661189
"35",40.77089555,-73.93260669
"36",40.77032351,-73.93070466
"37",40.76872537,-73.92955106
"38",40.77040049,-73.92648418
"39",40.76866868,-73.92666299
"40",40.76900613,-73.92642434
"41",40.76616468,-73.92543472
"42",40.76234599,-73.92857233
"43",40.76093832,-73.92919472
"44",40.76079266,-73.92888804
"45",40.76000557,-73.92995374
"46",40.759231,-73.92904492
"47",40.76283533,-73.92546011
"48",40.7637077,-73.92476603
"49",40.76376531,-73.92471904
"50",40.7629942,-73.92496177
"51",40.76970247,-73.9210335
"52",40.76891968,-73.92025102
"53",40.76460327,-73.92181569
"54",40.75940953,-73.92491166
"55",40.76547729,-73.91955841
"56",40.76502244,-73.9167865
"57",40.76747896,-73.91675455
"58",40.75739798,-73.92544814
"59",40.75820277,-73.92217333
"60",40.7662743,-73.91341677
"61",40.75868985,-73.92000698
"62",40.76538554,-73.91413631
"63",40.75915432,-73.91698154
"64",40.7666276,-73.91239105
"65",40.76562609,-73.91281835
"66",40.76823111,-73.90959469
"67",40.75697547,-73.91765202
"68",40.75965001,-73.91546485
"69",40.7638848,-73.91134778
"70",40.76489239,-73.91168939
"71",40.76502557,-73.90999253
"72",40.75565911,-73.91540855
"73",40.7665419,-73.90808798
"74",40.76147266,-73.90845595
"75",40.75453397,-73.91568791
"76",40.75689262,-73.91322322
"77",40.75671979,-73.91333534
"78",40.76280303,-73.9074217
"79",40.7645311,-73.90604391
"80",40.76328302,-73.90699507
"81",40.75839328,-73.90873812
"82",40.76173545,-73.9075748
"83",40.76092613,-73.90805241
"84",40.76101136,-73.90823639
"85",40.7689768,-73.90181011
"86",40.7697228,-73.90114111
"87",40.7697228,-73.90114111
"88",40.77114214,-73.89834824
"89",40.76879976,-73.90342773
"90",40.77128116,-73.90038786
"91",40.77090392,-73.9021719
"92",40.77190339,-73.89943379
"93",40.76919433,-73.90593264
"94",40.77081823,-73.90810735
"95",40.77363592,-73.90333767
"96",40.77167576,-73.9095864
"97",40.77106404,-73.91004574
"98",40.77246142,-73.90697864
"99",40.77087689,-73.91295589
"100",40.77366767,-73.9086161
"101",40.77359468,-73.91003871
"102",40.77456546,-73.90894703
"103",40.77510558,-73.90818808
"104",40.77622159,-73.90682535
"105",40.7774688,-73.90481248
"106",40.77744013,-73.90667561
"107",40.77762172,-73.90720974
"108",40.7781896,-73.90686593
"109",40.77318245,-73.91293121
"110",40.77161977,-73.91538106
"111",40.77122986,-73.91516133
"112",40.77986824,-73.9088784
"113",40.77502376,-73.91607356
"114",40.7748382,-73.91758299
"115",40.7756609,-73.91657824
"116",40.77600095,-73.91616621
"117",40.7753205,-73.91649562
"118",40.77771761,-73.91406264
"119",40.77790823,-73.91205847
"120",40.77641546,-73.91624151
"121",40.77593296,-73.91702922
"122",40.77516236,-73.91797253
"123",40.7778937,-73.9146329
"124",40.77865187,-73.91548406
"125",40.77816338,-73.91558939
"126",40.77442129,-73.92193775
"127",40.77590547,-73.92086728
"128",40.77630116,-73.92153477
"129",40.77617479,-73.921358
"130",40.77734322,-73.9201615
"131",40.77893605,-73.91750931
"132",40.78039104,-73.91414224
"133",40.78247329,-73.9127999
"134",40.7734526,-73.9264086
"135",40.77452217,-73.92505348
"136",40.77779933,-73.92085781
"137",40.77923338,-73.91878354
"138",40.77919499,-73.91883414
"139",40.78198486,-73.91668586
"140",40.78206703,-73.91645827
"141",40.78216093,-73.91725617
"142",40.78323415,-73.91729816
"143",40.7739373,-73.9290112
"144",40.77036922,-73.93375528
"145",40.76041563,-73.93177622
"146",40.76853974,-73.92677143
"147",40.76912251,-73.92388986
"148",40.76690583,-73.92553497
"149",40.75975359,-73.93083477
"150",40.76201303,-73.92722623
"151",40.76380345,-73.92427858
"152",40.76427995,-73.92264635
"153",40.76546739,-73.92111794
"154",40.76759961,-73.92047282
"155",40.76538676,-73.91963072
"156",40.75911276,-73.92032774
"157",40.76094826,-73.91926788
"158",40.76094826,-73.91926788
